fidelity,full_spectrum,auxiliary,best
0.0,0.0,0.0,0.0
0.005,0.0,0.0,0.0
0.01,0.0,0.0,0.0
0.015,0.0,0.0,0.0
0.02,0.0,0.0,0.0
0.025,0.0,0.0,0.0
0.03,0.0,0.0,0.0
0.035,0.0,0.0,0.0
0.04,0.0,0.0,0.0
0.045,0.0,0.0,0.0
0.05,0.0,0.0,0.0
0.055,0.0,0.0,0.0
0.06,0.0,0.0,0.0
0.065,0.0,0.0,0.0
0.07,0.0,0.0,0.0
0.075,0.0,0.0,0.0
0.08,0.0,0.0,0.0
0.085,0.0,0.0,0.0
0.09,0.0,0.0,0.0
0.095,0.0,0.0,0.0
0.1,0.0,0.0,0.0
0.105,0.0,0.0,0.0
0.11,0.0,0.0,0.0
0.115,0.0,0.0,0.0
0.12,0.0,0.0,0.0
0.125,0.0,0.0,0.0
0.13,0.0,0.0,0.0
0.135,0.0,0.0,0.0
0.14,0.0,0.0,0.0
0.145,0.0,0.0,0.0
0.15,0.0,0.0,0.0
0.155,0.0,0.0,0.0
0.16,0.0,0.0,0.0
0.165,0.0,0.0,0.0
0.17,0.0,0.0,0.0
0.175,0.0,0.0,0.0
0.18,0.0,0.0,0.0
0.185,0.0,0.0,0.0
0.19,0.0,0.0,0.0
0.195,0.0,0.0,0.0
0.2,0.0,0.0,0.0
0.205,0.0,0.0,0.0
0.21,0.0,0.0,0.0
0.215,0.0,0.0,0.0
0.22,0.0,0.0,0.0
0.225,0.0,0.0,0.0
0.23,0.0,0.0,0.0
0.235,0.0,0.0,0.0
0.24,0.0,0.0,0.0
0.245,0.0,0.0,0.0
0.25,0.0,0.0,0.0
0.255,0.0,0.0,0.0
0.26,0.0,0.0,0.0
0.265,0.0,0.0,0.0
0.27,0.0,0.0,0.0
0.275,0.0,0.0,0.0
0.28,0.0,0.0,0.0
0.285,0.0,0.0,0.0
0.29,0.0,0.0,0.0
0.295,0.0,0.0,0.0
0.3,0.0,0.0,0.0
0.305,0.0,0.0,0.0
0.31,0.0,0.0,0.0
0.315,0.0,0.0,0.0
0.32,0.0,0.0,0.0
0.325,0.0,0.0,0.0
0.33,0.0,0.0,0.0
0.335,0.0,0.0,0.0
0.34,0.0,0.0,0.0
0.345,0.0,0.0,0.0
0.35,0.0,0.0,0.0
0.355,0.0,0.0,0.0
0.36,0.0,0.0,0.0
0.365,0.0,0.0,0.0
0.37,0.0,0.0,0.0
0.375,0.0,0.0,0.0
0.38,0.0,0.0,0.0
0.385,0.0,0.0,0.0
0.39,0.0,0.0,0.0
0.395,0.0,0.0,0.0
0.4,0.0,0.0,0.0
0.405,8.662742684683839e-06,7.076085788910655e-06,8.662742684683839e-06
0.41,3.458186830931575e-05,2.8201378224462868e-05,3.458186830931575e-05
0.415,7.765848086848051e-05,6.32253461984888e-05,7.765848086848051e-05
0.42,0.00013779989645425726,0.00011200251742199841,0.00013779989645425726
0.425,0.00021491948916887435,0.00017439228392112944,0.00021491948916887435
0.43,0.0003089365487381052,0.00025025871784776447,0.0003089365487381052
0.435,0.00041977614926057337,0.0003394703969997175,0.00041977614926057337
0.44,0.0005473690285795892,0.00044190023938342655,0.0005473690285795892
0.445,0.0006916514778121479,0.0005574253463595212,0.0006916514778121479
0.45,0.0008525652406141274,0.0006859268537331049,0.0008525652406141274
0.455,0.0010300574218024103,0.0008272897904579909,0.0010300574218024103
0.46,0.001224080404993565,0.0009814029443486142,0.001224080404993565
0.465,0.0014345917789554525,0.001148158734516399,0.0014345917789554525
0.47,0.0016615542724025799,0.0013274530901071398,0.0016615542724025799
0.475,0.0019049356969990925,0.0015191853349135476,0.0019049356969990925
0.48,0.0021647088983642185,0.0017232580776751598,0.0021647088983642185
0.485,0.0024408517149052335,0.0019395771075405507,0.0024408517149052335
0.49,0.0027333469443315815,0.0021680512946798403,0.0027333469443315815
0.495,0.003042182317731756,0.0024085924955019877,0.003042182317731756
0.5,0.0033673504811214585,0.0026611154624183522,0.0033673504811214585
0.505,0.0037088489843984168,0.002925537757785715,0.0037088489843984168
0.51,0.004066680277664918,0.003201779671921451,0.004066680277664918
0.515,0.004440851714905232,0.003489764144890207,0.004440851714905232
0.52,0.004831375565030884,0.0037894166918872596,0.004831375565030884
0.525,0.005238269030332431,0.004100665332170211,0.005238269030332431
0.53,0.005661554272402581,0.004423440521031753,0.005661554272402581
0.535,0.006101258445622114,0.004757675085129837,0.006101258445622114
0.54,0.006557413738326903,0.005103304160552623,0.006557413738326903
0.545,0.00703005742180241,0.005460265133839681,0.00703005742180241
0.55,0.007519231907280791,0.00582849758560898,0.007519231907280791
0.555,0.008024984811145483,0.0062079432367310936,0.008024984811145483
0.56,0.008547369028579586,0.006598545896980654,0.008547369028579586
0.565,0.009086442815927229,0.007000251416000747,0.009086442815927229
0.57,0.009642269882071435,0.007413007636468176,0.009642269882071435
0.575,0.010214919489168866,0.007836764349392199,0.010214919489168866
0.58,0.010804466563120917,0.008271473251471533,0.010804466563120917
0.585,0.011410991814201802,0.008717087904321526,0.011410991814201802
0.59,0.012034581868309302,0.009173563695680939,0.012034581868309302
0.595,0.012675329409351344,0.009640857802303206,0.012675329409351344
0.6,0.013333333333333326,0.010118929154634075,0.013333333333333326
0.605,0.014008698914766901,0.010607738403104638,0.014008698914766901
0.61,0.014701537986080976,0.011107247885924112,0.014701537986080976
0.615,0.015411969130781892,0.011617421598634797,0.015411969130781892
0.62,0.01614011789118027,0.012138225164850525,0.01614011789118027
0.625,0.016886116991581022,0.012669625808550883,0.016886116991581022
0.63,0.017650106577917143,0.013211592327776425,0.017650106577917143
0.635,0.018432234474901915,0.013764095069534646,0.018432234474901915
0.64,0.019232656461876604,0.014327105906049173,0.019232656461876604
0.645,0.020051536568642912,0.01490059821211856,0.020051536568642912
0.65,0.02088904739269437,0.01548454684392396,0.02088904739269437
0.655,0.021745370439397217,0.0160789281185911,0.021745370439397217
0.66,0.022620696486823594,0.016683719795241317,0.022620696486823594
0.665,0.02351522597710755,0.017298901056883628,0.02351522597710755
0.67,0.02442916943638027,0.017924452493530085,0.02442916943638027
0.675,0.025362747925549784,0.018560356086118363,0.025362747925549784
0.68,0.02631619352441921,0.019206595191612177,0.02631619352441921
0.685,0.027289749851896958,0.019863154529044524,0.027289749851896958
0.69,0.028283672625339665,0.02053002016638636,0.028283672625339665
0.695,0.02929823026239109,0.021207179508415747,0.02929823026239109
0.7,0.03033370452904232,0.02189462128561373,0.03033370452904232
0.705,0.031400359696711254,0.02259233554361957,0.031400359696711254
0.71,0.032508670894250906,0.023300313633970726,0.032508670894250906
0.715,0.033659269504931706,0.02401854820522184,0.033659269504931706
0.72,0.034852818832221806,0.02474703319537032,0.034852818832221806
0.725,0.036090015940881584,0.025485763824726823,0.036090015940881584
0.73,0.037371593651377356,0.02623473658977664,0.037371593651377356
0.735,0.0386983227030411,0.02699394925783316,0.0386983227030411
0.74,0.040071014103301016,0.027763400862416965,0.040071014103301016
0.745,0.04149052168247719,0.028543091699407178,0.04149052168247719
0.75,0.04295774487612763,0.029333023324013885,0.04295774487612763
0.755,0.044473631759794,0.030133198548533788,0.044473631759794
0.76,0.04603918236429772,0.030943621440757116,0.04603918236429772
0.765,0.04765545230355731,0.03176429732327754,0.04765545230355731
0.77,0.04932355675132721,0.032595232773302896,0.04932355675132721
0.775,0.051044674808410705,0.033436435623544314,0.051044674808410705
0.78,0.052820054307913554,0.03428791496362804,0.052820054307913554
0.785,0.05465101711314639,0.035149681142243844,0.05465101711314639
0.79,0.05653896497105463,0.03602174577018702,0.05653896497105463
0.795,0.058485385993810306,0.03690412172396296,0.058485385993810306
0.8,0.06049186185274144,0.03779682315041066,0.06049186185274144
0.805,0.06256007578249141,0.03869986547172882,0.06256007578249141
0.81,0.06469182150966186,0.039613265391508695,0.06469182150966186
0.815,0.06688901323979725,0.040537040901519134,0.06688901323979725
0.82,0.06915369686016533,0.0414712112891959,0.06915369686016533
0.825,0.07148806254431907,0.042415797145875844,0.07148806254431907
0.83,0.0738944589791054,0.04337082037590806,0.0738944589791054
0.835,0.07637540947715023,0.04433630420648618,0.07637540947715023
0.84,0.0789336302899005,0.04531227319851311,0.0789336302899005
0.845,0.08157205150062259,0.04629875325782623,0.08157205150062259
0.85,0.08429384095673682,0.04729577164777521,0.08429384095673682
0.855,0.08710243180097828,0.048303357002342395,0.08710243180097828
0.86,0.09000155428705743,0.049321539340217796,0.09000155428705743
0.865,0.09299527272573845,0.05035035007975949,0.09299527272573845
0.87,0.09608802861236823,0.051389822054763695,0.09608802861236823
0.875,0.09928469125168453,0.05243998953143572,0.09928469125168453
0.88,0.10259061754070037,0.053500888225990084,0.10259061754070037
0.885,0.10601172302429292,0.05457255532331737,0.10601172302429292
0.89,0.10955456694149929,0.05565502949679488,0.10955456694149929
0.895,0.1132264547919118,0.0567483509288928,0.1132264547919118
0.9,0.11703556305622277,0.05785256133307812,0.11703556305622277
0.905,0.12101477125032484,0.05896770397638654,0.12101477125032484
0.91,0.12520043770635564,0.060093823703717825,0.12520043770635564
0.915,0.12960818204535118,0.061230966962587424,0.12960818204535118
0.92,0.13425593083496482,0.062379181829682856,0.13425593083496482
0.925,0.13916442720148803,0.06353851803808674,0.13916442720148803
0.93,0.1443578956743555,0.06470902700616141,0.1443578956743555
0.935,0.14986492440614596,0.0658907618675641,0.14986492440614596
0.94,0.1557196586776521,0.06708377750254843,0.1557196586776521
0.945,0.16196345173254606,0.06828813057075236,0.16196345173254606
0.95,0.16864720769959052,0.06950387954532755,0.16864720769959052
0.955,0.1758348087965584,0.07073108474872641,0.1758348087965584
0.96,0.18360831259375268,0.07196980838973185,0.18360831259375268
